county_fips,county_name,resolution_status,authority_name,authority_url,boundary_source_id,boundary_source_url,producer,product,reference_vintage,effective_date,as_of_date,retrieval_timestamp,sha256,license_access,crs,schema_status,expected_precinct_count,house_assignment_status,senate_assignment_status,contest_eligibility_status,cutoff_status,reviewed_at,review_notes
039,Crawford,candidate,Crawford County Board of Elections,https://www.pa.gov/agencies/vote/contact-us/contact-your-election-officials,pasda_crawford_election_districts_201805_2026_08_29,https://maps.pasda.psu.edu/ArcGIS/rest/services/pasda/CrawfordCounty/MapServer/16/query?where=1%3D1&outFields=*&returnGeometry=true&outSR=4269&orderByFields=OBJECTID&f=geojson,Crawford County via PASDA,Crawford County Municipal Election Districts 201805,,,2026-08-29,2026-08-29T23:35:11+00:00,0735b9a7b4b8201014f47974f5dfdaaa4d73a375c7fc5f302a79975fd3f9e5a9,Public PASDA service; redistribution terms require review,EPSG:4269,profiled,68,unreviewed,unreviewed,unreviewed,pending,2026-08-29,Checksum-frozen county-origin PASDA candidate; 68 valid polygons; 201805 label is stale absent documented unchanged-boundary evidence through 2026
041,Cumberland,candidate,Cumberland County Board of Elections,https://www.pa.gov/agencies/vote/contact-us/contact-your-election-officials,pasda_cumberland_voting_precincts_202601_2026_08_29,https://maps.pasda.psu.edu/ArcGIS/rest/services/pasda/CumberlandCounty/MapServer/5/query?where=1%3D1&outFields=*&returnGeometry=true&outSR=4269&orderByFields=OBJECTID&f=geojson,Cumberland County GIS via PASDA,Cumberland County Voting Precincts 202601,,,2026-08-29,2026-08-29T23:35:10+00:00,d590f2183d07273021d779da25784d36f3fcf436734e707c00dcb431c41c139a,Public PASDA metadata states no access/use constraints,EPSG:4269,profiled,119,candidate,candidate,unreviewed,pending,2026-08-29,Checksum-frozen county-origin PASDA candidate with explicit Senate and Represent fields; two invalid polygons require typed repair review; publication label does not prove November 2026 effectiveness
043,Dauphin,unreviewed,Dauphin County Board of Elections,https://www.pa.gov/agencies/vote/contact-us/contact-your-election-officials,,,,,,,,,,,,unreviewed,,unreviewed,unreviewed,unreviewed,not_set,,County source review pending
045,Delaware,candidate,Delaware County Board of Elections,https://www.delcopa.gov/vote,delaware_2026_precinct_candidate_v1,https://www.delcopa.gov/sites/default/files/2026-01/2026-List-of-Delaware-County-Precincts-after-consolidations.pdf,Delaware County Elections Department and Delaware County GIS via PASDA,Official 383-precinct list plus deterministic PASDA consolidation reconstruction v1,2026 primary and later,2026-05-19,2026-01-30,2026-08-30T05:41:39+00:00,d9e35728deb0e132da8b6c1ce784bc0a32c06e3005e7b19bb4c9c27960adc724,Public official county and PASDA inputs; redistribution terms require review,EPSG:4269,profiled,383,candidate,candidate,unreviewed,pending,2026-08-30,Official table maps all 428 named old precincts exactly once to 383 active IDs with complete House and Senate assignments; reconstruction has valid geometry and no nearest assignment but one material 59423.971 square meter PASDA polygon is unnamed and the November 3 cutoff is unmet
047,Elk,unreviewed,Elk County Board of Elections,https://www.pa.gov/agencies/vote/contact-us/contact-your-election-officials,,,,,,,,,,,,unreviewed,,unreviewed,unreviewed,unreviewed,not_set,,County source review pending
049,Erie,unreviewed,Erie County Board of Elections,https://www.pa.gov/agencies/vote/contact-us/contact-your-election-officials,,,,,,,,,,,,unreviewed,,unreviewed,unreviewed,unreviewed,not_set,,County source review pending
051,Fayette,unreviewed,Fayette County Board of Elections,https://www.pa.gov/agencies/vote/contact-us/contact-your-election-officials,,,,,,,,,,,,unreviewed,,unreviewed,unreviewed,unreviewed,not_set,,County source review pending
053,Forest,candidate,Forest County Board of Elections,https://www.pa.gov/agencies/vote/contact-us/contact-your-election-officials,pasda_forest_voting_precincts_202602_2026_08_29,https://maps.pasda.psu.edu/ArcGIS/rest/services/pasda/ForestCounty/MapServer/5/query?where=1%3D1&outFields=*&returnGeometry=true&outSR=4269&orderByFields=OBJECTID_1&f=geojson,Forest County via PASDA,Forest County Voting Precincts 202602,,,2026-08-29,2026-08-29T23:35:11+00:00,710c0d21db993ab6a95f771d0b22af3a597a575a56409d22cefbca80e3ded0f9,Public PASDA service; redistribution terms require review,EPSG:4269,profiled,9,unreviewed,unreviewed,unreviewed,pending,2026-08-29,Checksum-frozen county-origin PASDA candidate; nine valid polygons; 202602 label is not election-effective proof
055,Franklin,unreviewed,Franklin County Board of Elections,https://www.pa.gov/agencies/vote/contact-us/contact-your-election-officials,,,,,,,,,,,,unreviewed,,unreviewed,unreviewed,unreviewed,not_set,,County source review pending
057,Fulton,unreviewed,Fulton County Board of Elections,https://www.pa.gov/agencies/vote/contact-us/contact-your-election-officials,,,,,,,,,,,,unreviewed,,unreviewed,unreviewed,unreviewed,not_set,,County source review pending
059,Greene,unreviewed,Greene County Board of Elections,https://www.pa.gov/agencies/vote/contact-us/contact-your-election-officials,,,,,,,,,,,,unreviewed,,unreviewed,unreviewed,unreviewed,not_set,,County source review pending
061,Huntingdon,unreviewed,Huntingdon County Board of Elections,https://www.pa.gov/agencies/vote/contact-us/contact-your-election-officials,,,,,,,,,,,,unreviewed,,unreviewed,unreviewed,unreviewed,not_set,,County source review pending
063,Indiana,unreviewed,Indiana County Board of Elections,https://www.pa.gov/agencies/vote/contact-us/contact-your-election-officials,,,,,,,,,,,,unreviewed,,unreviewed,unreviewed,unreviewed,not_set,,County source review pending
065,Jefferson,unreviewed,Jefferson County Board of Elections,https://www.pa.gov/agencies/vote/contact-us/contact-your-election-officials,,,,,,,,,,,,unreviewed,,unreviewed,unreviewed,unreviewed,not_set,,County source review pending
067,Juniata,unreviewed,Juniata County Board of Elections,https://www.pa.gov/agencies/vote/contact-us/contact-your-election-officials,,,,,,,,,,,,unreviewed,,unreviewed,unreviewed,unreviewed,not_set,,County source review pending
069,Lackawanna,unreviewed,Lackawanna County Board of Elections,https://www.pa.gov/agencies/vote/contact-us/contact-your-election-officials,,,,,,,,,,,,unreviewed,,unreviewed,unreviewed,unreviewed,not_set,,County source review pending
071,Lancaster,unreviewed,Lancaster County Board of Elections,https://www.pa.gov/agencies/vote/contact-us/contact-your-election-officials,,,,,,,,,,,,unreviewed,,unreviewed,unreviewed,unreviewed,not_set,,County source review pending
073,Lawrence,unreviewed,Lawrence County Board of Elections,https://www.pa.gov/agencies/vote/contact-us/contact-your-election-officials,,,,,,,,,,,,unreviewed,,unreviewed,unreviewed,unreviewed,not_set,,County source review pending
075,Lebanon,unreviewed,Lebanon County Board of Elections,https://www.pa.gov/agencies/vote/contact-us/contact-your-election-officials,,,,,,,,,,,,unreviewed,,unreviewed,unreviewed,unreviewed,not_set,,County source review pending
077,Lehigh,unreviewed,Lehigh County Board of Elections,https://www.pa.gov/agencies/vote/contact-us/contact-your-election-officials,,,,,,,,,,,,unreviewed,,unreviewed,unreviewed,unreviewed,not_set,,County source review pending
079,Luzerne,unreviewed,Luzerne County Board of Elections,https://www.pa.gov/agencies/vote/contact-us/contact-your-election-officials,,,,,,,,,,,,unreviewed,,unreviewed,unreviewed,unreviewed,not_set,,County source review pending
081,Lycoming,unreviewed,Lycoming County Board of Elections,https://www.pa.gov/agencies/vote/contact-us/contact-your-election-officials,,,,,,,,,,,,unreviewed,,unreviewed,unreviewed,unreviewed,not_set,,County source review pending
083,McKean,unreviewed,McKean County Board of Elections,https://www.pa.gov/agencies/vote/contact-us/contact-your-election-officials,,,,,,,,,,,,unreviewed,,unreviewed,unreviewed,unreviewed,not_set,,County source review pending
085,Mercer,unreviewed,Mercer County Board of Elections,https://www.pa.gov/agencies/vote/contact-us/contact-your-election-officials,,,,,,,,,,,,unreviewed,,unreviewed,unreviewed,unreviewed,not_set,,County source review pending
087,Mifflin,unreviewed,Mifflin County Board of Elections,https://www.pa.gov/agencies/vote/contact-us/contact-your-election-officials,,,,,,,,,,,,unreviewed,,unreviewed,unreviewed,unreviewed,not_set,,County source review pending
089,Monroe,unreviewed,Monroe County Board of Elections,https://www.pa.gov/agencies/vote/contact-us/contact-your-election-officials,,,,,,,,,,,,unreviewed,,unreviewed,unreviewed,unreviewed,not_set,,County source review pending
091,Montgomery,unreviewed,Montgomery County Board of Elections,https://www.pa.gov/agencies/vote/contact-us/contact-your-election-officials,,,,,,,,,,,,unreviewed,,unreviewed,unreviewed,unreviewed,not_set,,County source review pending
093,Montour,unreviewed,Montour County Board of Elections,https://www.pa.gov/agencies/vote/contact-us/contact-your-election-officials,,,,,,,,,,,,unreviewed,,unreviewed,unreviewed,unreviewed,not_set,,County source review pending
095,Northampton,unreviewed,Northampton County Board of Elections,https://www.pa.gov/agencies/vote/contact-us/contact-your-election-officials,,,,,,,,,,,,unreviewed,,unreviewed,unreviewed,unreviewed,not_set,,County source review pending
097,Northumberland,unreviewed,Northumberland County Board of Elections,https://www.pa.gov/agencies/vote/contact-us/contact-your-election-officials,,,,,,,,,,,,unreviewed,,unreviewed,unreviewed,unreviewed,not_set,,County source review pending
099,Perry,unreviewed,Perry County Board of Elections,https://www.pa.gov/agencies/vote/contact-us/contact-your-election-officials,,,,,,,,,,,,unreviewed,,unreviewed,unreviewed,unreviewed,not_set,,County source review pending
101,Philadelphia,candidate,Philadelphia County Board of Elections,https://votes.phila.gov/resources-data/election-resources/political-maps/,phila_city_political_divisions_2026_08_07,https://services.arcgis.com/fLeGjb7u4uXqeF9q/ArcGIS/rest/services/Political_Divisions/FeatureServer/0/query,"City of Philadelphia, Philadelphia City Planning Commission",Political Divisions hosted feature layer snapshot,,,2026-08-07,2026-08-07T23:19:29.634849+00:00,1b847f76069e6dd8c0185e59c20e337fa4261aea7739694f24dffc80fcf442a6,Public use under City terms; as-is and self-reported boundary disclaimers,EPSG:3857,profiled,1703,unreviewed,unreviewed,unreviewed,pending,2026-08-07,Checksum-frozen current candidate; no published election-effective date; not yet the November 3 2026 target
103,Pike,unreviewed,Pike County Board of Elections,https://www.pa.gov/agencies/vote/contact-us/contact-your-election-officials,,,,,,,,,,,,unreviewed,,unreviewed,unreviewed,unreviewed,not_set,,County source review pending
105,Potter,unreviewed,Potter County Board of Elections,https://www.pa.gov/agencies/vote/contact-us/contact-your-election-officials,,,,,,,,,,,,unreviewed,,unreviewed,unreviewed,unreviewed,not_set,,County source review pending
107,Schuylkill,unreviewed,Schuylkill County Board of Elections,https://www.pa.gov/agencies/vote/contact-us/contact-your-election-officials,,,,,,,,,,,,unreviewed,,unreviewed,unreviewed,unreviewed,not_set,,County source review pending
109,Snyder,candidate,Snyder County Board of Elections,https://www.pa.gov/agencies/vote/contact-us/contact-your-election-officials,pasda_snyder_voting_precincts_202601_2026_08_29,https://maps.pasda.psu.edu/ArcGIS/rest/services/pasda/SnyderCounty/MapServer/11/query?where=1%3D1&outFields=*&returnGeometry=true&outSR=4269&orderByFields=OBJECTID&f=geojson,Snyder County via PASDA,Snyder County - Voting Precincts 202601,,,2026-08-29,2026-08-29T23:35:12+00:00,dfe0fa2fdf8a6e95ed6410038151fdd4564852770047ef2040d1e144a42ff66c,Public PASDA service; redistribution terms require review,EPSG:4269,profiled,25,unreviewed,unreviewed,unreviewed,pending,2026-08-29,Checksum-frozen county-origin PASDA candidate; 25 valid polygons; 202601 label is not election-effective proof
111,Somerset,unreviewed,Somerset County Board of Elections,https://www.pa.gov/agencies/vote/contact-us/contact-your-election-officials,,,,,,,,,,,,unreviewed,,unreviewed,unreviewed,unreviewed,not_set,,County source review pending
113,Sullivan,unreviewed,Sullivan County Board of Elections,https://www.pa.gov/agencies/vote/contact-us/contact-your-election-officials,,,,,,,,,,,,unreviewed,,unreviewed,unreviewed,unreviewed,not_set,,County source review pending
115,Susquehanna,unreviewed,Susquehanna County Board of Elections,https://www.pa.gov/agencies/vote/contact-us/contact-your-election-officials,,,,,,,,,,,,unreviewed,,unreviewed,unreviewed,unreviewed,not_set,,County source review pending
117,Tioga,unreviewed,Tioga County Board of Elections,https://www.pa.gov/agencies/vote/contact-us/contact-your-election-officials,,,,,,,,,,,,unreviewed,,unreviewed,unreviewed,unreviewed,not_set,,County source review pending
119,Union,candidate,Union County Board of Elections,https://www.pa.gov/agencies/vote/contact-us/contact-your-election-officials,pasda_union_voting_precincts_202601_2026_08_29,https://maps.pasda.psu.edu/ArcGIS/rest/services/pasda/UnionCounty/MapServer/11/query?where=1%3D1&outFields=*&returnGeometry=true&outSR=4269&orderByFields=OBJECTID&f=geojson,Union County via PASDA,Union County - Voting Precincts 202601,,,2026-08-29,2026-08-29T23:35:13+00:00,6cb576fe551e2195109c6e96f3ae19062e4b203ed0af9170e7f8537b92bbce94,Public PASDA service; redistribution terms require review,EPSG:4269,profiled,27,unreviewed,unreviewed,unreviewed,pending,2026-08-29,Checksum-frozen county-origin PASDA candidate; 27 valid polygons; 202601 label is not election-effective proof
121,Venango,unreviewed,Venango County Board of Elections,https://www.pa.gov/agencies/vote/contact-us/contact-your-election-officials,,,,,,,,,,,,unreviewed,,unreviewed,unreviewed,unreviewed,not_set,,County source review pending
123,Warren,unreviewed,Warren County Board of Elections,https://www.pa.gov/agencies/vote/contact-us/contact-your-election-officials,,,,,,,,,,,,unreviewed,,unreviewed,unreviewed,unreviewed,not_set,,County source review pending
125,Washington,candidate,Washington County Board of Elections,https://www.pa.gov/agencies/vote/contact-us/contact-your-election-officials,pasda_washington_election_precincts_202207_2026_08_29,https://maps.pasda.psu.edu/ArcGIS/rest/services/pasda/WashingtonCounty/MapServer/5/query?where=1%3D1&outFields=*&returnGeometry=true&outSR=4269&orderByFields=OBJECTID_1&f=geojson,Washington County via PASDA,Washington County Election Precincts 202207,,,2026-08-29,2026-08-29T23:35:13+00:00,ee1d107ae4d55fdb93367841e17008e2daca2f9724f45663bf02d35bb269bca6,Public PASDA service; redistribution terms require review,EPSG:4269,profiled,180,unreviewed,unreviewed,unreviewed,pending,2026-08-29,Checksum-frozen county-origin PASDA candidate; three invalid polygons require typed repair review; 202207 label is stale absent documented unchanged-boundary evidence
127,Wayne,unreviewed,Wayne County Board of Elections,https://www.pa.gov/agencies/vote/contact-us/contact-your-election-officials,,,,,,,,,,,,unreviewed,,unreviewed,unreviewed,unreviewed,not_set,,County source review pending
129,Westmoreland,unreviewed,Westmoreland County Board of Elections,https://www.pa.gov/agencies/vote/contact-us/contact-your-election-officials,,,,,,,,,,,,unreviewed,,unreviewed,unreviewed,unreviewed,not_set,,County source review pending
131,Wyoming,unreviewed,Wyoming County Board of Elections,https://www.pa.gov/agencies/vote/contact-us/contact-your-election-officials,,,,,,,,,,,,unreviewed,,unreviewed,unreviewed,unreviewed,not_set,,County source review pending
133,York,candidate,York County Board of Elections,https://www.pa.gov/agencies/vote/contact-us/contact-your-election-officials,pasda_york_dist_voting_202209_2026_08_29,https://maps.pasda.psu.edu/ArcGIS/rest/services/pasda/YorkCounty/MapServer/26/query?where=1%3D1&outFields=*&returnGeometry=true&outSR=4269&orderByFields=OBJECTID&f=geojson,York County via PASDA,York County - DIST Voting 202209,,,2026-08-29,2026-08-29T23:35:12+00:00,6b54f4c687d953c5e43b3f0cdcd766c3e2e6738fa7ce5754c3ebb7d16c5bf1a9,Public PASDA service; redistribution terms require review,EPSG:4269,profiled,161,unreviewed,unreviewed,unreviewed,pending,2026-08-29,Checksum-frozen county-origin PASDA candidate; 161 valid polygons; 202209 label is stale absent documented unchanged-boundary evidence and count differs from 2021 LRC
